IE_XML_ID;IE_NAME;IP_PROP310;IC_GROUP0;IC_GROUP1;IC_GROUP2
539;Пункция кисты яичника или асцита;5000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
540;Гидроэхолокация;5000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
541;Диагностическая гистероскопия;6000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
542;Лечебно-диагностическая гистероскопия;7000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
543;Восстановление целостности девственной плевы;16000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
544;Хирургическая дефлорация;7000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
545;Прерывание беременности до 12 недель по медицинским показаниям;8500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
546;Гидросоно-исследование полости матки;4200;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
547;Установка акушерского пессария без наложения швов (стоимость пессария не включена);1700;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
548;Пластика уздечки полового члена (+ контрольный осмотр с 2 перевязками);6300;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
549;Иссечение полипа уретры;3200;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
550;Биопсия яичка;7900;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
551;Ликвидация гидроцеле (одностороннее);15000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
552;Ликвидация гидроцеле (двустороннее);18000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
553;Иссечение кисты придатка яичка;15750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
554;Иссечение кондилом полового члена;3200;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
555;Операция Иванисевича;21000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
556;Циркумцизио (обрезание) радиоволновым методом (+контрольный осмотр с 2 перевязками);8400;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
557;Диагностическая цистоскопия (муж);2950;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
558;Диагностическая цистоскопия (жен);2300;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
559;Стерилизация мужчин;15750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
560;Коррекция каверозных тел (искривление);36750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
561;Паховая грыжа;21000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
562;Пупочная грыжа;15750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
563;Бужирование уретры;1100;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
564;Эпицистомия троакарная;10500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
565;Кастрация;8400;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
566;Инстилляция мочевого пузыря;650;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
567;Иссечение кондилом паховой области, 1 элемент;550;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
568;Операция Мармара (1 яичко);25000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
569;Операция Мармара (2 яичка);45000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
570;Открытая биопсия яичка;21000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
571;Иссечение парауретральной кисты;16800;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
572;Меатотомия;7000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
573;Удаление фиброаденомы молочной железы хирургическим путем (включая проведение манипуляции и две перевязки после проведения манипуляции);12600;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
574;Перевязка после проведения манипуляций по удалению фиброаденом молочной железы;350;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
575;Лапароскопические операции на придатках (маточные трубы), ранее не оперированные (включая оперативное вмешательство, анестезиологическое пособие, один койко-день в стационаре, гистологическое исследование биоматериала 4 блока);25000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
576;Лапароскопические операции на придатках (маточные трубы), ранее оперированные (включая оперативное вмешательство, анестезиологическое пособие, один койко-день в стационаре, гистологическое исследование биоматериала 4 блока);30000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
577;Лапароскопические операции на придатках (одностороннее удаление опухолей яичников), ранее не оперированные (включая оперативное вмешательство, анестезиологическое пособие, один койко-день в стационаре, гистологическое исследование биоматериала 4 блока);25000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
578;Лапароскопические операции на придатках (одностороннее удаление опухолей яичников), ранее оперированные (включая оперативное вмешательство, анестезиологическое пособие, один койко-день в стационаре, гистологическое исследование биоматериала 4 блока);28000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
579;Лапароскопические операции на придатках (двухстороннее удаление опухолей яичников), ранее не оперированные (включая оперативное вмешательство, анестезиологическое пособие, один койко-день в стационаре, гистологическое исследование биоматериала 4 блока);30000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
580;Лапаросокопические операции на придатках (двухстороннее удаление опухолей яичников), ранее оперированные (включая оперативное вмешательство, анестезиологическое пособие, один койко-день в стационаре, гистологическое исследование биоматериала 4 блока);35000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
581;Миомэктомия, один узел до 5 см, ранее не оперированные, (включая оперативное вмешательство, анестезиологическое пособие, один койко-день в стационаре, гистологическое исследование биоматериала 6 блоков);38000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
582;Миомэктомия, более одного узла до 5 см, ранее оперированные, (включая оперативное вмешательство, анестезиологическое пособие, один койко-день в стационаре, гистологическое исследование биоматериала 6 блоков);40000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
583;Ампутация матки до 9-10 нед., ранее неоперированные (включая оперативное вмешательство, анестезиологическое пособие, один койко-день в стационаре, гистологическое исследование биоматериала 6 блоков);42000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
584;Хирургическая коррекция при истмико-цервикальной недостаточности беременных (включая наложение швов, установку пессария (не включая стоимость пессария), 1 койко-день в стационаре с лечебной терапией;14500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
585;Хирургическая коррекция органов малого таза и промежности (стоимость операции зависит от объема проводимого оперативного вмешательства, предварительная консультация хирурга обязательна);3800-15000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
586;Хирургическая коррекция органов малого таза и промежности I степени сложности, включая стоимость 1 койко-дня с лечением (предварительная консультация хирурга обязательна);28000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
587;Хирургическая коррекция органов малого таза и промежности II степени сложности, включая стоимость 1 койко-дня с лечением (предварительная консультация хирурга обязательна);33000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
588;Хирургическая коррекция органов малого таза и промежности III степени сложности, включая стоимость 1 койко-дня с лечением (предварительная консультация хирурга обязательна);38000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
589;Консультация врача анестезиолога при выборе вида анестезиологического пособия;550;Оперативное лечение и диагностика;Анестезиологические пособия;
590;Анестезиологическое пособие (внутривенное);5750;Оперативное лечение и диагностика;Анестезиологические пособия;
591;Анестезиологическое пособие (эндотрахеальное);7500;Оперативное лечение и диагностика;Анестезиологические пособия;
592;Анестезиологическое пособие (эпидуральное);6000;Оперативное лечение и диагностика;Анестезиологические пособия;
593;Анестезиологическое пособие (спинальное);6000;Оперативное лечение и диагностика;Анестезиологические пособия;
594;Анестезиологическое пособие (эндотрахеальное) при миомоэктомии III степени сложности;9900;Оперативное лечение и диагностика;Анестезиологические пособия;
595;Анестезиологическое пособие (эндотрахеальное) при миомоэктомии IV степени сложности;14300;Оперативное лечение и диагностика;Анестезиологические пособия;
596;Ингаляционное анестезиологическое пособие для малоинвазивных процедур (ГЭЛ, биопсия яичка, биопсия простаты, пункция яичника и др.);3000;Оперативное лечение и диагностика;Анестезиологические пособия;
597;Внутривенное обезболивание при малоинвазивных манипуляциях;1500;Оперативное лечение и диагностика;Анестезиологические пособия;
598;Взятие мазков (на степень чистоты, флору, цитологическое исследование, бакпосев и определение чувствительности к антибиотикам, ПЦР…);200;Оперативное лечение и диагностика;Процедурный кабинет;
599;Забор крови одноразовой системой вакуэт на исследования;100;Оперативное лечение и диагностика;Процедурный кабинет;
600;Курс лечения эндоцервицитов, хронических воспалительных заболеваний малого таза (1 процедура);200;Оперативное лечение и диагностика;Процедурный кабинет;
601;Обработка струпа на шейке матки или влагалища после различных видов коагуляции;280;Оперативное лечение и диагностика;Процедурный кабинет;
602;Влагалищная ванночка;250;Оперативное лечение и диагностика;Процедурный кабинет;
603;Аппликация влагалища лекарственными препаратами (антисептиками) при лечении вагинозов, вагинитов;250;Оперативное лечение и диагностика;Процедурный кабинет;
604;Аппликация влагалища лекарственными препаратами + мази, кремы, свечи при лечении вагинозов, вагинитов;300;Оперативное лечение и диагностика;Процедурный кабинет;
605;Электрокардиограмма (ЭКГ);350;Оперативное лечение и диагностика;Процедурный кабинет;
606;Обработка препаратом «Кондилин» (одна обработка);300;Оперативное лечение и диагностика;Процедурный кабинет;
607;Внутривенная инъекция;200;Оперативное лечение и диагностика;Процедурный кабинет;
608;Внутривенная капельная инфузия;400;Оперативное лечение и диагностика;Процедурный кабинет;
609;Внутримышечная инъекция;90;Оперативное лечение и диагностика;Процедурный кабинет;
610;Кардиотокография (КТГ);500;Оперативное лечение и диагностика;Процедурный кабинет;
611;Абдоминальная декомпрессия (1 процедура);350;Оперативное лечение и диагностика;Процедурный кабинет;
612;Абдоминальная декомпрессия (8 процедур);2400;Оперативное лечение и диагностика;Процедурный кабинет;
613;Кардиотокография (КТГ) с расшифровкой;700;Оперативное лечение и диагностика;Процедурный кабинет;
614;Оксигенотерапия (1 ед.);50;Оперативное лечение и диагностика;Процедурный кабинет;
615;Один койко-день (пребывание в клинике до 4 ч.) (после малоинвазивных манипуляций);1100;Оперативное лечение и диагностика;Стационар;
616;Один койко-день (пребывание в клинике более 4 ч.);2750;Оперативное лечение и диагностика;Стационар;
23067;Неинвазивный пренатальный тест PrenaTest на опеределение наличия у плода Трисомии по 21, 13, 18 хромосоме (синдромы Дауна, Эдвардса, Патау)+определение пола (для двуплодной беременности), МедикалГеномикс;30500;Пренатальная, постнатальная диагностика и медицина плода;Пренатальная/постнатальная диагностика и медицина плода ;
617;Один койко-день (пребывание в клинике до 4 ч. беременных);1200;Оперативное лечение и диагностика;Стационар;
23068;Неинвазивный пренатальный тест PrenaTest на опеределение наличия у плода Трисомии по 21, 13, 18 хромосоме (синдромы Дауна, Эдвардса, Патау)+числовые нарушения половых хромосом и определение пола, МедикалГеномикс;30500;Пренатальная, постнатальная диагностика и медицина плода;Пренатальная/постнатальная диагностика и медицина плода ;
618;Консультация гинеколога (осмотр, назначение обследований), врач группы 1;1300;Гинекология;Гинекология;
619;Консультация гинеколога (осмотр, назначение обследований), врач группы 2;1100;Гинекология;Гинекология;
620;Консультация гинеколога со взятием мазков (осмотр, назначение обследований, взятие мазков, без кольпоскопии), врач группы 1;1400;Гинекология;Гинекология;
621;Консультация гинеколога со взятием мазков (осмотр, назначение обследований, взятие мазков, без кольпоскопии), врач группы 2;1200;Гинекология;Гинекология;
622;Консультация гинеколога со взятием мазков и кольпоскопией (осмотр, назначение обследований, взятие мазков, электронная кольпоскопия), врач группы 1;1800;Гинекология;Гинекология;
623;Консультация гинеколога со взятием мазков и кольпоскопией (осмотр, назначение обследований, взятие мазков, электронная кольпоскопия), врач группы 2;1600;Гинекология;Гинекология;
624;Консультация гинеколога по планированию беременности, врач группы 1;1800;Гинекология;Гинекология;
