ID;Дата создания;Заголовок;Анонс;Текст;Дата;Источник
55172;2018-08-30 09:22:59;ГРАФИК работы на Кирова, 52;Анализы с 7.30 на буднях;"Друзья! с сентября меняется&nbsp;  график работы филиала на Кирова, 52&nbsp;  пн-пт с 7.30-20.00&nbsp;  сб 8.00-16.00  &nbsp;  Для тех, кто торопится рано утром на работу, приём анализов с 7.30.&nbsp;  График работы врачей - без изменений.&nbsp;  Смотрите расписание.&nbsp;  ";;
54544;2018-07-10 06:08:06;Комфортное наблюдение беременности ;АКЦИЯ! в филиалах Зорге и Дёма;"Выгодно и удобно!&nbsp;  При заключении договора на акушерское наблюдение беременности I и II триместров на ранних сроках ( до 6-7 недели) - скидка составит 4.000 руб.  При этом Вы получите полный комплекс медицинских услуг, входящий в программу наблюдения беременности I и II триместров. А именно:&nbsp;  1.консультативные приемы акушера-гинеколога - до 12 раз  2.консультация генетика - однократно  3.консультация терапевта/эндокринолога - однократно  4.консультация специалиста по пренатальной диагностике - однократно&nbsp;  &nbsp;  При заключении договора для будущей мамочки оформляется материнский паспорт, на основании которого, впоследствии, в выбранном вами родильном доме будет выдан сертификат на роды. Больничные листы и госпитализация в специализированные стационары города - по показаниям.&nbsp;  &nbsp;  Данное предложение для наблюдения беременности действует в филиалах клиники на Зорге, 75 (ост.Горсовет) и на Кусимова, 15/1 (Дёма)&nbsp;  &nbsp;  ВАС ЖДУТ ДОКТОРА клиники:&nbsp;  Заграт Шехмагомедовна Мажидова&nbsp;  Марина Николаевна Буйло  &nbsp;  ВСЕ виды УЗИ и лабораторных исследований проводятся по графику, и оплачиваются по факту.&nbsp;  Все вопросы и запись на приём по тел. 8 800 775 6969&nbsp;";;
54502;2018-07-05 15:05:57;Дюртюли, Октябрьский, Нефтекамск, Магнитогорск;Репродуктологи едут к вам! ;"График выездных консультаций врачей репродуктологов на июль месяц:    10 июля, г. Дюртюли, в клинике ""Ваш доктор"",&nbsp;ул. Ленина, д. 38,&nbsp;  прием ведет Лилия Ришатовна Кутлиматова, врач акушер-гинеколог первой категории, репродуктолог  запись на прием по тел.&nbsp;8 (34787) 2-42-76,&nbsp;8-917-40-35-102,&nbsp;8-927-33-40-235  &nbsp;  14 июля, г. Октябрьский, в клинике ""Ваш доктор"",&nbsp;34 мкр, дом 7/2  прием ведет Ксения Алексеевна Камалова, врач акушер-гинеколог, репродуктолог  запись на прием по тел. 8 (34767) 300-22, 8-937-323-00-22  &nbsp;  19 июля, г. Магнитогорск, в КДЛ ""Лорак-Магнитогорск"", ул.Советская, 58а  прием ведет Ксения Алексеевна Камалова, врач акушер-гинеколог, репродуктолог  запись на прием по тел. 8 (3519) 54 10 40&nbsp;  &nbsp;  24 июля, г.Нефтекамск, в клинике ""Доктор плюс"", ул. Строителей, д.73  прием ведет Ксения Алексеевна Камалова, врач акушер-гинеколог, репродуктолог  запись на прием по тел. 8 (34783) 4 08 08&nbsp;";;
54501;2018-07-05 15:00:44;Дюртюли, Октябрьский, Нефтекамск, Магнитогорск;Репродуктологи едут к вам! ;"График выездных консультация врачей репродуктологов на июль месяц:    10 июля, г. Дюртюли, в клинике ""Ваш доктор"",&nbsp;ул. Ленина, д. 38,&nbsp;  прием ведет Лилия Ришатовна Кутлиматова, врач акушер-гинеколог первой категории, репродуктолог  запись на прием по тел.&nbsp;8 (34787) 2-42-76,&nbsp;8-917-40-35-102,&nbsp;8-927-33-40-235  &nbsp;  14 июля, г. Октябрьский, в клинике ""Ваш доктор"",&nbsp;34 мкр, дом 7/2  прием ведет Ксения Алексеевна Камалова, врач акушер-гинеколог, репродуктолог  запись на прием по тел. 8 (34767) 300-22, 8-937-323-00-22  &nbsp;  19 июля, г. Магнитогорск, в КДЛ ""Лорак-Магнитогорск"", ул.Советская, 58а  прием ведет Ксения Алексеевна Камалова, врач акушер-гинеколог, репродуктолог  запись на прием по тел. 8 (3519) 54 10 40&nbsp;  &nbsp;  24 июля, г.Нефтекамск, в клинике ""Доктор плюс"", ул. Строителей, д.73  прием ведет Ксения Алексеевна Камалова, врач акушер-гинеколог, репродуктолог  запись на прием по тел. 8 (34783) 4 08 08&nbsp;";;
54357;2018-06-25 10:11:59;Дюртюли, репродуктолог на 10 июля;Визит к репродуктологу в своем городе ;"Дюртюли, 10 июля, выездная консультация репродуктолога.&nbsp;   В клинике ""Ваш доктор"" на Ленина, 38.&nbsp;      - На первую консультацию можно записаться в любой день цикла вне месячных.   - Желательно приехать с супругом/партнером.   - Обязательно иметь при себе свежее (давность исследования &ndash; не более 3 недель) ультразвуковое исследование мониторинга фолликулогенеза.  Когда нужна консультация репродуктолога?  -Когда беременность не наступает после одного года регулярной половой жизни без использования контрацепции и смены партнеров.   На первой консультации гинеколог-репродуктолог проводит беседу с супругами по вопросам планирования беременности, составляет анамнез бесплодной пары, проводит осмотр женщины в гинекологическом кресле, назначает ряд исследований обоих супругов, дает рекомендации по лечению (применению препаратов).  Бесплодие может быть обусловлено женским или мужским фактором, нередки случаи, когда эти факторы сочетаются, поэтому проходить исследования и анализы паре нужно в полном объеме. Выявив причину бесплодия, специалист назначает курс лечения. Наиболее частой причиной бесплодия являются инфекционные и воспалительные заболевания половой системы, расстройства эндокринной системы, последствия аборта или других хирургических вмешательств. Реже причина заключается в несовместимости пары, врожденной патологии. В большинстве случаев причину бесплодия можно устранить после лечения, но даже если современная медицина не может устранить причину бесплодия, можно прибегнуть к помощи вспомогательных репродуктивных технологий, таких как ЭКО.   На повторной консультации гинеколог-репродуктолог изучает результаты обследований пары, дает рекомендации по лечению, при наличии показаний &ndash;дает рекомендации для получения квоты и проведения ЭКО бесплатно (в порядке очереди) в клинике ""Здоровье женщины и мужчины"", г.Уфа   Запись на прием по тел.   (34787) 2-42-76   8-917-40-35-102   8-927-33-40-235 ";;
54278;2018-06-18 16:03:59;БИРСК, БЛАГОВЕЩЕНСК, ДЮРТЮЛИ! ;Репродуктолог едет к вам! ;"Вниманию жителей городов Бирск, Благовещенск, Дюртюли, и ближайших населенных пунктов!   21 июня в г.Благовещенск и 26 июня в г.Дюртюли  ведет прием врач репродуктолог Лилия Ришатовна Кутлиматова.    По вопросам планирования беременности, трудностей с зачатием, проведения обследования по направлению другого репродуктолога и т.д.   в г.Благовещенск - клиника ""Мой доктор"" по адресу ул.Седова, 118/1, телефон для записи на прием 8987-047-88-99 и 8965-925-88-99   в г.Дюртюли - в клинике ""Ваш доктор"" по адресу ул.Ленина, 28, телефон для записи на прием 8917-403-51-02.    Все справки по указанным телефонам клиник.&nbsp;";;
54061;2018-05-28 08:43:41;Вакансия оператора ЭВМ;Срочно нужны операторы ЭВМ ;"Для работы в кабинете ультразвуковой диагностики нужны 2 оператора ЭВМ.  &nbsp;  В чем заключается работа оператора: под диктовку врача заполнять данные по исследованию в бланк заключения в программе, распечатывать и передавать на подпись врачу.&nbsp;Условия: работа по графику, в двух филиалах, на Кирова 52 и на Зорге, 75, медицинский халат выдается.&nbsp;  &nbsp;Заработная плата: 11.000-15.000 руб. в месяц, в зависимости от количества трудо-часов, регулярно, аванс/расчет.&nbsp;  Требования: элементарные навыки работы на компьютере, программ WORD, Excel, быстрая печать.   Приветствуются студенты БГМУ и медицинского колледжа.&nbsp;Ждем ваши резюме по эл.почте&nbsp;ufadoctor.adm@mail.ru";;
53947;2018-05-17 15:41:51;Редакция ВЫПИСКИ для ЭКО по ОМС;Обновление формы выписки ;"Уважаемые пациенты, ожидающие очереди на получение квоты на проведение ЭКО за счет средств фонда ОМС!&nbsp;  Обновлена форма ВЫПИСКИ из медицинской документации.&nbsp;  Новый бланк можно скачать по ссылке здесь&nbsp;, заполнить свои данные, и в электронном виде на носителе (флеш-карта) принести в клинику для оформления и подписания.&nbsp;  Оформление ВЫПИСОК для тех пациентов, которые проводят ЭКО по ОМС в нашей клинике -&nbsp; проводится БЕСПЛАТНО.  Для оформления ВЫПИСКИ необходимо обратиться в кабинет 302 на КИрова, 52.   График работы : пон-пят с 8 до 20 ч., суб с 8 до 16 ч.&nbsp;  &nbsp;";;
53792;2018-05-05 12:01:58;Криоконсервация эмбрионов и хранение полгода - бесплатно;ДО 31 августа 2018 Г.;"&nbsp;  &nbsp;  ВСЕМ, КТО ВСТУПИТ В ЛЮБОЙ ПЛАТНЫЙ ПРОТОКОЛ ЭКО    (стандартный, ЭКО+ИКСИ, ЭКО с ДО/ДС, ЭКО-пакет ""Молодая семья"")    до 31 августа этого года -    КРИОКОНСЕРВАЦИЯ ЭМБРИОНОВ И ХРАНЕНИЕ 6 МЕС - В ПОДАРОК.    Согласитесь, экономия в 15.000 руб. - существенная помощь?  &nbsp;  Что дает криоконсервация эмбрионов и последующий перенос размороженного эмбриона?&nbsp;  -Позволяет максимизировать шансы на наступление беременности после ЭКО. Это самое важное преимущество криоконсервации. В результате длинного протокола мы получаем несколько эмбрионов, которые можно подвергнуть криоконсервации и хранению в течение длительного периода времени, и в дальнейшем перенести в полость матки при планировании следующей беременности. Тем самым исключается необходимости проведения длинного протокола ЭКО заново. А результативность переноса размороженных эмбрионов постоянно растет, на сегодня в нашей клинике средняя результативность приближается к 55%.  -Криоконсервация всех эмбрионов для будущего переноса в матку может быть рекомендована женщинам, имеющим повышенный риск развития синдрома гиперстимуляции яичников после проведения индукции суперовуляции яичников.  - Криоконсервация эмбрионов рекомендуется и в тех случаях, когда вероятность имплантации эмбриона снижена, например, при наличии полипа эндокметрия, или при недостаточной толщине эндометрия к моменту переноса эмбриона, дисфункциональном кровотечении в данный период и даже в случае если пациентка ""подхватила"" вирусное заболевание.  &nbsp;  На все вопросы о проведении криоконсервации эмбрионов ответит ваш врач репродуктолог. Запись на прием по тел. 8 800 775 6969&nbsp;  Ждем Вас!&nbsp;&nbsp;";;
53789;2018-05-04 16:05:57;Мы ищем гинеколога! ;Для постоянной работы в филиале на Кусимова, 15/1;"Друзья, нам нужен еще один врач акушер-гинеколог, владеющий аппаратам УЗИ.&nbsp;  Полностью укомплектованный кабинет приёма, аппарат УЗИ Volusson в филиале на Генерала Кусимова, 15/1.&nbsp;  Если вы располагаете опытом практической работы не менее 5 лет, владеете аппаратом радиоволновой терапии, технологией плазмолифтинга, имеете опыт наблюдения беременности, консультируете по вопросам гинекологической эндокринологии - добро пожаловать! Ждем Ваше резюме ufadoctor.adm@mail.ru  &nbsp;  ";;
53724;2018-04-28 14:15:03;Консультация репродуктолога;"в г.Октябрьский, клиника ""Ваш доктор"" ";"Друзья, мы едем в города Башкирии!&nbsp;   12 мая, в клинике ""Ваш доктор"" по адресу: 34 мкр, 7/2 будет вести прием наш врач акушер-гинеколог, репродуктолог КСЕНИЯ АЛЕКСЕЕВНА КАМАЛОВА.    В каком случае Вам может быть полезен врач репродуктолог?    - если у вас в паре не наступает беременность в течение одного года половой жизни без средств контрацепции и вам необходимо понять - почему же нет столь долгожданной беременности   - если вы уже начали обследование по вопросу трудностей с зачатием, но ответа о причинах так и не получили.   Ксения Алексеевна ответит на ваши вопросы по планированию беременности и лечению бесплодия.   В консультацию доктора входит : беседа с супругами (партнерами), осмотр женщины в кресле, УЗИ мониторинг малого таза, рассмотрение результатов предыдущих обследований, назначение дальнейших обследований и лечебных процедур.&nbsp;  Запись на прием по тел.регистратуры клиники ""Ваш доктор"":   +7 34767 3&#8209;00-22, +7 937 323&#8209;00-22, +7 34767 3&#8209;00-99  &nbsp;  &nbsp;";;
53708;2018-04-26 13:10:02;Уролог эксперт на Зорге;Экспертная консультация уролога, доктора медицинских наук ;"Уважаемые пациенты!    В филиале на Зорге, 75 ведет прием врач уролог высшей категории, хирург, доктор медицинских наук Адель Альбертович Измайлов.&nbsp;  Экспертная консультация уролога нужна в тех случаях, когда:&nbsp;  -вам необходимо принять решение о проведении оперативного вмешательства в области урологии;  -вам необходимо принять решение о выборе метода лечения онкоурологического заболевания.&nbsp;  На консультации врач рассмотрит результаты проведённых вами обследований, заключение лечащего врача и вы вместе найдете нужное вам решение о дальнейшей тактике лечения.&nbsp;  Запись на прием по тел. 8 800 775 69 69 или на сайте клиники";;
53706;2018-04-26 10:49:23;Май, график работы клиники;Мир, труд, май! ;"Друзья, поздравляем Вас с наступающими майскими праздниками!  Будьте здоровы, но если что - сразу к нам)))  График работы клиники в дни майских праздников:  Филиал на Р.Зорге, 75  28 апреля &ndash; с 8 до 16 ч.  29 апреля &ndash; с 8 до 14 ч.  30 апреля &ndash; с 8 до 14 ч.  1,2 мая &ndash; с 8 до 14 ч.  9 мая - выходной день  &nbsp;  Филиал в Деме на ул.Ген.Кусимова, 15/1  28 апреля &ndash; с 8 до 16 ч.  29,30 апреля и 1 мая &ndash; выходные дни  2 мая &ndash; с 8 до 14 ч.  9 мая - выходной день  &nbsp;  Филиал на Кирова, 52  28 апреля &ndash; с 8 до 16 ч.  29 апреля &ndash; выходной день  30 апреля &ndash; с 8 до 14 ч.  1,2 мая &ndash; с 8 до 14 ч.  9 мая - выходной день  Запись на прием и уточнения о возможности сдачи тех или иных анализов по тел. 8 800 775 6969&nbsp;  ЖДЕМ ВАС!&nbsp;";;
53704;2018-04-26 10:28:16;Мы ищем еще одного сотрудника регистратуры;Есть работа! ;Друзья, мы ищем нового сотрудника в регистратуру для работы в филиале на Зорге, 75.   Комфорт, стабильность, обучения, тренинги, развитие, нескучный рабочий день - это обязательные составляющие работы у нас.   Если вы знаете кого-то кто ищет работу - передайте информацию.   График работы - 12 часовой рабочий день, 2/2.   Требования: законченное образование, коммуникабельность, чистоплотность, умение работать на кассовом аппарате, уверенный пользователь ПК.   Ждем резюме по эл.почте ufadoctor.adm@mail.ru;;
53560;2018-04-13 11:45:43;Дисконтные карты, новый тираж;У вас еще нет нашей дисконтной карты? ;"Друзья, у нас поступил новый тираж дисконтных карт. Уже сегодня Вы можете оформить дисконтную карту в любом удобном для вас филиале:  ул.Зорге, 75  ул.Генерала Кусимова, 15/1  ул.Кирова, 52  &nbsp;  Правила пользования дисконтными картами по ссылке здесь&nbsp;";;
53390;2018-04-02 14:15:35;Поделитесь дисконтной картой с ближним своим! ;Изменения в правилах пользования дисконтными картами;"Друзья, владельцы дисконтных карт клиники!    Теперь, если с вашей дисконтной картой придет на приём ваша подруга/соседка/коллега, то мы с радостью предоставим этому человеку скидку, такую же как на вашей карте.&nbsp;  &nbsp;  Обновленные правила пользования дисконтными картами (п.5) по ссылке здесь.&nbsp;  &nbsp;  Передайте дисконтную карту ближнему своему!  &nbsp;  ";;
53136;2018-03-15 10:10:34;Ищем врачей на постоянную работу;Акушер-гинеколог и врач УЗД;"На постоянную работу в филиале на Р.Зорге, 75 нужен врач акушер-гинеколог, желательно высшей или первой категории, с опытом работы от 5 лет.   Условия:&nbsp;  -работа по графику&nbsp;  -заработаная плата: оклад+% от оказанных услуг  А также, врач ультразвуковой диагностики с опытом работы в диагностике беременных от 5 лет, владеющий сертификатом FMF и аппаратом Voluson экспертного класса.&nbsp;  Условия:&nbsp;  -работа по графику&nbsp;  -заработаная плата: оклад+% от оказанных услуг    Ждем Ваши резюме по эл.почте ufadoctor.adm@mail.ru  &nbsp;  &nbsp;";;
52900;2018-02-27 11:11:27;Повышение цен;Вниманию пациентов клиники;"Друзья!  Весь 2017 год мы смогли проработать на ценах предыдущих годов. С наступлением 2018 года мы получили уведомления от поставщиков о повышении стоимости расходных материалов, препаратов и оборудования.&nbsp;  Поэтому в течение марта месяца мы вынуждены изменить стоимость некоторых видов услуг: консультации врачей и диагностические манипуляции, ультразвуковые исследования, комплексную программу по лечению бесплодия ""Молодая семья"".&nbsp;  Обновленный прайс-лист будет предоставлен вашему вниманию на сайте клиники и на информационных стойках в каждом филиале клиники.&nbsp;  &nbsp;  С уважением, администрация  &nbsp;";;
52879;2018-02-26 11:26:11;График работы в мартовские выходные;Милые дамы, с праздником вас! ;"Уважаемые пациенты!  В дни мартовских выходных клиника работает по следующему графику:&nbsp;  8 марта - выходной во всех филиалах.&nbsp;  9 марта (пятница) - с 8 до 16 все филиалы  10 марта (суббота) - с 8 до 16 все филиалы  11 марта (воскресенье) - с 8 до 14 филиал на Зорге, 75.&nbsp;  Анализы принимаются в указанные рабочие дни с 8 до 10 ч.&nbsp;&nbsp;  &nbsp;  Просим Вас записаться на посещение врачей заранее.&nbsp;  &nbsp;";;
51922;2017-12-25 10:31:23;Ваша очередь на проведение ЭКО по ОМС подошла! ;Обновился список очередников для получения квоты на ЭКО! ;"На сайте Минздрава РБ обновился список очередников, у которых подошла очередь на проведение ЭКО в 2018 году.   Просим ознакомиться с информацией,&nbsp;и подъехать получить направление на проведение ЭКО в 2018 году по адресу г.Уфа, ул.Цюрупы, 4, в приемное время: вторник (26.12) и четверг (28.12) с 15 до 18 ч.   График работы комисии после новогодних праздников будет опубликован дополнительно, следите за новостями на нашем сайте.&nbsp;    &nbsp;Затем, с направлением на руках, необходимо посетить своего врача репродуктолога на Кирова, 52, чтобы назначить дату вступления в протокол и получить план подготовки к вступлению в протокол.  У пациентов, получивших направление на проведение ЭКО, все консультации и визиты к врачу репродуктологу входят в программу государственных гарантий и оплачиваются из фонда ОМС.&nbsp;  &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Запись на прием к репродуктологу по тел. 8 800 775 6969.&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Просьба записываться заранее, загрузка репродуктологов очень высокая.&nbsp;  ";;
